"Title:","Employed from the Current Population Survey: Labor Force Statistics Database"
"SubTitle:","USA - Industry: Retail trade - Filter: Absence - Filter Item: N/A - Indicator: (seas) Employment Level - Retail Trade Industry, Both sexes LNS12034568"
"Time:","01/1983 - 08/2022"
"Unit of Measure:","Number in thousands"
"Citation:","United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed | Retail trade | Absence | N/A | (seas) Employment Level - Retail Trade Industry, Both sexes LNS12034568, 01/1983 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-004 doi:https://doi.org/10.6068/DP184765D22A67"
"ColumnCount:",2
"RowCount:",476

"Time","Retail trade, Absence, N/A, (seas) Employment Level - Retail Trade Industry, Both sexes LNS12034568 (Number in thousands)"
"01/1983",11402
"02/1983",11231
"03/1983",11347
"04/1983",11410
"05/1983",11461
"06/1983",11589
"07/1983",11667
"08/1983",12033
"09/1983",11974
"10/1983",11923
"11/1983",11864
"12/1983",11929
"01/1984",11976
"02/1984",12000
"03/1984",12048
"04/1984",12110
"05/1984",12171
"06/1984",12344
"07/1984",12354
"08/1984",12398
"09/1984",12376
"10/1984",12368
"11/1984",12464
"12/1984",12392
"01/1985",12321
"02/1985",12315
"03/1985",12379
"04/1985",12351
"05/1985",12476
"06/1985",12326
"07/1985",12315
"08/1985",12283
"09/1985",12442
"10/1985",12576
"11/1985",12574
"12/1985",12536
"01/1986",12395
"02/1986",12486
"03/1986",12595
"04/1986",12649
"05/1986",12769
"06/1986",12753
"07/1986",12776
"08/1986",12734
"09/1986",12695
"10/1986",12735
"11/1986",12870
"12/1986",12847
"01/1987",12803
"02/1987",13017
"03/1987",13014
"04/1987",13050
"05/1987",12999
"06/1987",12898
"07/1987",12866
"08/1987",12981
"09/1987",13021
"10/1987",13056
"11/1987",12989
"12/1987",13182
"01/1988",13127
"02/1988",13072
"03/1988",13072
"04/1988",13090
"05/1988",13117
"06/1988",13182
"07/1988",13247
"08/1988",13293
"09/1988",13192
"10/1988",13233
"11/1988",13264
"12/1988",13389
"01/1989",13422
"02/1989",13332
"03/1989",13396
"04/1989",13420
"05/1989",13518
"06/1989",13544
"07/1989",13531
"08/1989",13634
"09/1989",13690
"10/1989",13559
"11/1989",13720
"12/1989",13564
"01/1990",13888
"02/1990",13903
"03/1990",13780
"04/1990",13849
"05/1990",13686
"06/1990",13572
"07/1990",13809
"08/1990",13764
"09/1990",13777
"10/1990",13754
"11/1990",13557
"12/1990",13539
"01/1991",13546
"02/1991",13547
"03/1991",13686
"04/1991",13658
"05/1991",13463
"06/1991",13509
"07/1991",13529
"08/1991",13480
"09/1991",13719
"10/1991",13755
"11/1991",13852
"12/1991",13576
"01/1992",13487
"02/1992",13671
"03/1992",13627
"04/1992",13796
"05/1992",13876
"06/1992",13787
