"Title:","Employed from the Current Population Survey: Labor Force Statistics Database"
"SubTitle:","USA - Industry: All Industries - Filter: Absence - Filter Item: N/A - Indicator: (Seas) Employment Level LNS12000000"
"Time:","01/1948 - 08/2022"
"Unit of Measure:","Number in thousands"
"Citation:","United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed | All Industries | Absence | N/A | (Seas) Employment Level LNS12000000, 01/1948 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-004 doi:https://doi.org/10.6068/DP184764AAB1D4"
"ColumnCount:",2
"RowCount:",896

"Time","All Industries, Absence, N/A, (Seas) Employment Level LNS12000000 (Number in thousands)"
"01/1948",58061
"02/1948",58196
"03/1948",57671
"04/1948",58291
"05/1948",57854
"06/1948",58743
"07/1948",58968
"08/1948",58456
"09/1948",58513
"10/1948",58387
"11/1948",58417
"12/1948",58740
"01/1949",58175
"02/1949",58208
"03/1949",58043
"04/1949",57747
"05/1949",57552
"06/1949",57172
"07/1949",57190
"08/1949",57397
"09/1949",57584
"10/1949",57269
"11/1949",58009
"12/1949",57845
"01/1950",57635
"02/1950",57751
"03/1950",57728
"04/1950",58583
"05/1950",58649
"06/1950",59052
"07/1950",59001
"08/1950",59797
"09/1950",59575
"10/1950",59803
"11/1950",59697
"12/1950",59429
"01/1951",59636
"02/1951",59661
"03/1951",60401
"04/1951",59889
"05/1951",60188
"06/1951",59620
"07/1951",60156
"08/1951",59994
"09/1951",59713
"10/1951",60010
"11/1951",59836
"12/1951",60497
"01/1952",60460
"02/1952",60462
"03/1952",59908
"04/1952",59909
"05/1952",60195
"06/1952",60219
"07/1952",59971
"08/1952",59790
"09/1952",60521
"10/1952",60132
"11/1952",60748
"12/1952",60954
"01/1953",61600
"02/1953",61884
"03/1953",62010
"04/1953",61444
"05/1953",61019
"06/1953",61456
"07/1953",61397
"08/1953",61151
"09/1953",60906
"10/1953",60893
"11/1953",60738
"12/1953",59977
"01/1954",60024
"02/1954",60663
"03/1954",60186
"04/1954",60185
"05/1954",59908
"06/1954",59792
"07/1954",59643
"08/1954",59853
"09/1954",60282
"10/1954",60270
"11/1954",60357
"12/1954",60116
"01/1955",60753
"02/1955",60727
"03/1955",60964
"04/1955",61515
"05/1955",61634
"06/1955",61781
"07/1955",62513
"08/1955",62797
"09/1955",62950
"10/1955",62991
"11/1955",63257
"12/1955",63684
"01/1956",63753
"02/1956",63518
"03/1956",63411
"04/1956",63614
"05/1956",63861
"06/1956",63820
"07/1956",63800
"08/1956",63972
"09/1956",64079
"10/1956",63975
"11/1956",63796
"12/1956",63910
"01/1957",63632
"02/1957",64257
"03/1957",64404
"04/1957",64047
"05/1957",63985
"06/1957",64196
"07/1957",64540
"08/1957",63959
"09/1957",64121
"10/1957",64046
"11/1957",63669
"12/1957",63922
"01/1958",63220
"02/1958",62898
"03/1958",62731
"04/1958",62631
"05/1958",62874
"06/1958",62730
"07/1958",62745
"08/1958",63012
"09/1958",63181
"10/1958",63475
"11/1958",63470
"12/1958",63549
"01/1959",63868
"02/1959",63684
"03/1959",64267
"04/1959",64768
"05/1959",64699
"06/1959",64849
"07/1959",65011
"08/1959",64844
"09/1959",64770
"10/1959",64911
"11/1959",64530
"12/1959",65341
"01/1960",65347
